	feature_id	feature_frequency	sample-id	run-number	community	composition
221	bdf18e8980906003f3978e5ee578c9ea	27.0	R46-16E18E-2	46	Mixed	16E18S
222	f4ad315ec51d8bee23cb39f39bc8b019	48.0	R46-16E18E-2	46	Mixed	16E18S
223	b8b0859fd6afcfc39c1a7e6a50415ca3	61.0	R46-16E18E-2	46	Mixed	16E18S
224	167b5b3eeed0f9b502f7f1f245d5116c	48.0	R46-16E18E-2	46	Mixed	16E18S
225	86cd70d2450e3f44f4a7c543f53008ee	7.0	R46-16E18E-2	46	Mixed	16E18S
226	7c021d25c7a4fbbd779315968cb970de	0.0	R46-16E18E-2	46	Mixed	16E18S
227	517e57821fff49cbf0fe3fde07416754	0.0	R46-16E18E-2	46	Mixed	16E18S
228	8f32800b2aaddf64b12980a1b10aaa77	0.0	R46-16E18E-2	46	Mixed	16E18S
229	863728e1cec6befd5ba02d15baef4c36	1580.0	R46-16E18E-2	46	Mixed	16E18S
230	2970af3e30642198ba1dfa1f304f310b	1376.0	R46-16E18E-2	46	Mixed	16E18S
231	bdf18e8980906003f3978e5ee578c9ea	914.0	R46-16E18E-2	46	Mixed	16E18S
232	9c0fe787b120b62b93c3cb46d844d9fa	1793.0	R46-16E18E-2	46	Mixed	16E18S
233	20a0d2f150b3312772f5c00e54fd7baf	2222.0	R46-16E18E-2	46	Mixed	16E18S
234	0b7809b1b04598cfc5bbf6264159dde9	781.0	R46-16E18E-2	46	Mixed	16E18S
235	86cd70d2450e3f44f4a7c543f53008ee	919.0	R46-16E18E-2	46	Mixed	16E18S
236	32debaa2edfdd6b9fcefff9d65ff740f	945.0	R46-16E18E-2	46	Mixed	16E18S
237	167b5b3eeed0f9b502f7f1f245d5116c	1136.0	R46-16E18E-2	46	Mixed	16E18S
238	b8b0859fd6afcfc39c1a7e6a50415ca3	1064.0	R46-16E18E-2	46	Mixed	16E18S
239	f4ad315ec51d8bee23cb39f39bc8b019	694.0	R46-16E18E-2	46	Mixed	16E18S
240	ce6f51e54a2473098a710087727a6303	0.0	R46-16E18E-2	46	Mixed	16E18S
